project_key,project_code,line_name,section_label,report_date,source_file,source_sheet,configured_sheet,template_sheet,header_row_number,source_row_number,activity_raw,activity_norm,quantity_loa,quantity_estimated_or_total,quantity_primary,cumulative_last_month,plan_for_month,progress_for_month,today_progress,cumulative_progress,balance_progress,gangs_working,remarks
TB501,TB 501,,220kV Line,2026-06-13,TB 501 - DPR - 2026-06-13.xlsx,Summary,Summary,TB 501 Status,6,17,OPGW,opgw_stringing,,64.0,64.0,53.721835,10.278165,9.517265999999992,0.0,63.23910099999999,0.7608990000000091,0.0,
TB501,TB 501,,132kV Line,2026-06-13,TB 501 - DPR - 2026-06-13.xlsx,Summary,Summary,TB 501 Status,20,28,Stringing,stringing,,,,,,,,,,,
TB501,TB 501,,132kV Line,2026-06-13,TB 501 - DPR - 2026-06-13.xlsx,Summary,Summary,TB 501 Status,20,29,Paying Out,paying_out,,9.24,9.24,6.231,3.009,0.0003260000000002705,0.0,6.231326,3.008674,1.0,
TB501,TB 501,,132kV Line,2026-06-13,TB 501 - DPR - 2026-06-13.xlsx,Summary,Summary,TB 501 Status,20,30,Final Sag,final_sag,,9.24,9.24,6.231,3.009,0.0003260000000002705,0.0,6.231326,3.008674,,
TB501,TB 501,,132kV Line,2026-06-13,TB 501 - DPR - 2026-06-13.xlsx,Summary,Summary,TB 501 Status,20,31,OPGW,opgw_stringing,,9.24,9.24,0.0,9.0,6.231326,0.0,6.231326,3.008674,0.0,
TB501,TB 501,,220kV Line,2026-06-15,TB 501 - DPR - 2026-06-15.xlsx,Summary,Summary,TB 501 Status,6,14,Stringing,stringing,,,,,,0.0,,,,,"8D/4 to 8E/1 Stringing final checking done,"
TB501,TB 501,,220kV Line,2026-06-15,TB 501 - DPR - 2026-06-15.xlsx,Summary,Summary,TB 501 Status,6,15,Paying Out,paying_out,,64.0,64.0,61.2,2.799999999999997,1.775100999999992,0.0,62.975101,1.024899000000005,0.0,
TB501,TB 501,,220kV Line,2026-06-15,TB 501 - DPR - 2026-06-15.xlsx,Summary,Summary,TB 501 Status,6,16,Final Sag,final_sag,,64.0,64.0,61.2,2.799999999999997,1.775100999999992,0.0,62.975101,1.024899000000005,,
TB501,TB 501,,220kV Line,2026-06-15,TB 501 - DPR - 2026-06-15.xlsx,Summary,Summary,TB 501 Status,6,17,OPGW,opgw_stringing,,64.0,64.0,53.721835,10.278165,9.517265999999992,0.0,63.23910099999999,0.7608990000000091,0.0,
TB501,TB 501,,132kV Line,2026-06-15,TB 501 - DPR - 2026-06-15.xlsx,Summary,Summary,TB 501 Status,20,28,Stringing,stringing,,,,,,,,,,,
TB501,TB 501,,132kV Line,2026-06-15,TB 501 - DPR - 2026-06-15.xlsx,Summary,Summary,TB 501 Status,20,29,Paying Out,paying_out,,9.24,9.24,6.231,3.009,0.0003260000000002705,0.0,6.231326,3.008674,1.0,
TB501,TB 501,,132kV Line,2026-06-15,TB 501 - DPR - 2026-06-15.xlsx,Summary,Summary,TB 501 Status,20,30,Final Sag,final_sag,,9.24,9.24,6.231,3.009,0.0003260000000002705,0.0,6.231326,3.008674,,
TB501,TB 501,,132kV Line,2026-06-15,TB 501 - DPR - 2026-06-15.xlsx,Summary,Summary,TB 501 Status,20,31,OPGW,opgw_stringing,,9.24,9.24,0.0,9.0,6.231326,0.0,6.231326,3.008674,0.0,
TB501,TB 501,,220kV Line,2026-06-17,TB 501 - DPR - 2026-06-17.xlsx,Summary,Summary,TB 501 Status,6,14,Stringing,stringing,,,,,,0.0,,,,,"4/9 to 4/10 Bottom Final sag done, 9/0 to 9/4 Stringing final checking done,"
TB501,TB 501,,220kV Line,2026-06-17,TB 501 - DPR - 2026-06-17.xlsx,Summary,Summary,TB 501 Status,6,15,Paying Out,paying_out,,64.0,64.0,61.2,2.799999999999997,1.775100999999992,0.0,62.975101,1.024899000000005,0.0,
TB501,TB 501,,220kV Line,2026-06-17,TB 501 - DPR - 2026-06-17.xlsx,Summary,Summary,TB 501 Status,6,16,Final Sag,final_sag,,64.0,64.0,61.2,2.799999999999997,1.775100999999992,0.0,62.975101,1.024899000000005,,
TB501,TB 501,,220kV Line,2026-06-17,TB 501 - DPR - 2026-06-17.xlsx,Summary,Summary,TB 501 Status,6,17,OPGW,opgw_stringing,,64.0,64.0,53.721835,10.278165,9.517265999999992,0.0,63.23910099999999,0.7608990000000091,0.0,
TB501,TB 501,,132kV Line,2026-06-17,TB 501 - DPR - 2026-06-17.xlsx,Summary,Summary,TB 501 Status,20,28,Stringing,stringing,,,,,,,,,,,
TB501,TB 501,,132kV Line,2026-06-17,TB 501 - DPR - 2026-06-17.xlsx,Summary,Summary,TB 501 Status,20,29,Paying Out,paying_out,,9.24,9.24,6.231,3.009,0.0003260000000002705,0.0,6.231326,3.008674,1.0,
TB501,TB 501,,132kV Line,2026-06-17,TB 501 - DPR - 2026-06-17.xlsx,Summary,Summary,TB 501 Status,20,30,Final Sag,final_sag,,9.24,9.24,6.231,3.009,0.0003260000000002705,0.0,6.231326,3.008674,,
TB501,TB 501,,132kV Line,2026-06-17,TB 501 - DPR - 2026-06-17.xlsx,Summary,Summary,TB 501 Status,20,31,OPGW,opgw_stringing,,9.24,9.24,0.0,9.0,6.231326,0.0,6.231326,3.008674,0.0,
TB501,TB 501,,220kV Line,2026-06-18,TB 501 - DPR - 2026-06-18.xlsx,Summary,Summary,TB 501 Status,6,14,Stringing,stringing,,,,,,0.0,,,,,"8E/8, 8E/9, 8E/10,9/5, 9/6, 9/7 Stringing final checking done,"
